fill	x	y	PANEL	group	xmin	xmax	ymin	ymax
#C9C9C9	14	8	1	-1	13.5	14.5	7.5	8.5
#CBCBCB	15	8	1	-1	14.5	15.5	7.5	8.5
#C9C9C9	16	8	1	-1	15.5	16.5	7.5	8.5
#D8D8D8	17	8	1	-1	16.5	17.5	7.5	8.5
#D8D8D8	18	8	1	-1	17.5	18.5	7.5	8.5
#D8D8D8	19	8	1	-1	18.5	19.5	7.5	8.5
#D8D8D8	20	8	1	-1	19.5	20.5	7.5	8.5
#D8D8D8	21	8	1	-1	20.5	21.5	7.5	8.5
#D8D8D8	22	8	1	-1	21.5	22.5	7.5	8.5
#D8D8D8	23	8	1	-1	22.5	23.5	7.5	8.5
#D9D9D9	24	8	1	-1	23.5	24.5	7.5	8.5
#D9D9D9	25	8	1	-1	24.5	25.5	7.5	8.5
#000000	1	25	1	-1	0.5	1.5	24.5	25.5
#A6A6A6	2	25	1	-1	1.5	2.5	24.5	25.5
#CCCCCC	3	25	1	-1	2.5	3.5	24.5	25.5
#FFFFFF	4	25	1	-1	3.5	4.5	24.5	25.5
#BEBEBE	5	25	1	-1	4.5	5.5	24.5	25.5
#B7B7B7	6	25	1	-1	5.5	6.5	24.5	25.5
#B4B4B4	7	25	1	-1	6.5	7.5	24.5	25.5
#B7B7B7	8	25	1	-1	7.5	8.5	24.5	25.5
#ABABAB	9	25	1	-1	8.5	9.5	24.5	25.5
#ABABAB	10	25	1	-1	9.5	10.5	24.5	25.5
#ABABAB	11	25	1	-1	10.5	11.5	24.5	25.5
#ABABAB	12	25	1	-1	11.5	12.5	24.5	25.5
#ABABAB	13	25	1	-1	12.5	13.5	24.5	25.5
#ACACAC	14	25	1	-1	13.5	14.5	24.5	25.5
#A9A9A9	15	25	1	-1	14.5	15.5	24.5	25.5
#AAAAAA	16	25	1	-1	15.5	16.5	24.5	25.5
#A7A7A7	17	25	1	-1	16.5	17.5	24.5	25.5
#AAAAAA	18	25	1	-1	17.5	18.5	24.5	25.5
#AAAAAA	19	25	1	-1	18.5	19.5	24.5	25.5
#ADADAD	20	25	1	-1	19.5	20.5	24.5	25.5
#AFAFAF	21	25	1	-1	20.5	21.5	24.5	25.5
#AFAFAF	22	25	1	-1	21.5	22.5	24.5	25.5
#AFAFAF	23	25	1	-1	22.5	23.5	24.5	25.5
#AFAFAF	24	25	1	-1	23.5	24.5	24.5	25.5
#AFAFAF	25	25	1	-1	24.5	25.5	24.5	25.5
#000000	1	29	1	-1	0.5	1.5	28.5	29.5
#BABABA	2	29	1	-1	1.5	2.5	28.5	29.5
#9E9E9E	3	29	1	-1	2.5	3.5	28.5	29.5
#BFBFBF	4	29	1	-1	3.5	4.5	28.5	29.5
#FFFFFF	5	29	1	-1	4.5	5.5	28.5	29.5
#FEFEFE	6	29	1	-1	5.5	6.5	28.5	29.5
#E7E7E7	7	29	1	-1	6.5	7.5	28.5	29.5
#E7E7E7	8	29	1	-1	7.5	8.5	28.5	29.5
#E6E6E6	9	29	1	-1	8.5	9.5	28.5	29.5
#E5E5E5	10	29	1	-1	9.5	10.5	28.5	29.5
#E5E5E5	11	29	1	-1	10.5	11.5	28.5	29.5
#E4E4E4	12	29	1	-1	11.5	12.5	28.5	29.5
#E4E4E4	13	29	1	-1	12.5	13.5	28.5	29.5
#E1E1E1	14	29	1	-1	13.5	14.5	28.5	29.5
#E1E1E1	15	29	1	-1	14.5	15.5	28.5	29.5
#E1E1E1	16	29	1	-1	15.5	16.5	28.5	29.5
#E1E1E1	17	29	1	-1	16.5	17.5	28.5	29.5
#E1E1E1	18	29	1	-1	17.5	18.5	28.5	29.5
#E1E1E1	19	29	1	-1	18.5	19.5	28.5	29.5
#E1E1E1	20	29	1	-1	19.5	20.5	28.5	29.5
#E1E1E1	21	29	1	-1	20.5	21.5	28.5	29.5
#E1E1E1	22	29	1	-1	21.5	22.5	28.5	29.5
#E1E1E1	23	29	1	-1	22.5	23.5	28.5	29.5
#E1E1E1	24	29	1	-1	23.5	24.5	28.5	29.5
#E1E1E1	25	29	1	-1	24.5	25.5	28.5	29.5
#000000	1	30	1	-1	0.5	1.5	29.5	30.5
#777777	2	30	1	-1	1.5	2.5	29.5	30.5
#B2B2B2	3	30	1	-1	2.5	3.5	29.5	30.5
#E8E8E8	4	30	1	-1	3.5	4.5	29.5	30.5
#FFFFFF	5	30	1	-1	4.5	5.5	29.5	30.5
#F9F9F9	6	30	1	-1	5.5	6.5	29.5	30.5
#F9F9F9	7	30	1	-1	6.5	7.5	29.5	30.5
#F6F6F6	8	30	1	-1	7.5	8.5	29.5	30.5
#F8F8F8	9	30	1	-1	8.5	9.5	29.5	30.5
#ECECEC	10	30	1	-1	9.5	10.5	29.5	30.5
#E5E5E5	11	30	1	-1	10.5	11.5	29.5	30.5
#E5E5E5	12	30	1	-1	11.5	12.5	29.5	30.5
#E5E5E5	13	30	1	-1	12.5	13.5	29.5	30.5
#E6E6E6	14	30	1	-1	13.5	14.5	29.5	30.5
#E7E7E7	15	30	1	-1	14.5	15.5	29.5	30.5
#E8E8E8	16	30	1	-1	15.5	16.5	29.5	30.5
#E7E7E7	17	30	1	-1	16.5	17.5	29.5	30.5
#E7E7E7	18	30	1	-1	17.5	18.5	29.5	30.5
#E7E7E7	19	30	1	-1	18.5	19.5	29.5	30.5
#E7E7E7	20	30	1	-1	19.5	20.5	29.5	30.5
#E5E5E5	21	30	1	-1	20.5	21.5	29.5	30.5
#E5E5E5	22	30	1	-1	21.5	22.5	29.5	30.5
#E5E5E5	23	30	1	-1	22.5	23.5	29.5	30.5
#E7E7E7	24	30	1	-1	23.5	24.5	29.5	30.5
#E7E7E7	25	30	1	-1	24.5	25.5	29.5	30.5
#000000	1	9	1	-1	0.5	1.5	8.5	9.5
#939393	2	9	1	-1	1.5	2.5	8.5	9.5
#FFFFFF	3	9	1	-1	2.5	3.5	8.5	9.5
#616161	4	9	1	-1	3.5	4.5	8.5	9.5
#B6B6B6	5	9	1	-1	4.5	5.5	8.5	9.5
#B5B5B5	6	9	1	-1	5.5	6.5	8.5	9.5
#B5B5B5	7	9	1	-1	6.5	7.5	8.5	9.5
#A8A8A8	8	9	1	-1	7.5	8.5	8.5	9.5
#A8A8A8	9	9	1	-1	8.5	9.5	8.5	9.5
#BEBEBE	10	9	1	-1	9.5	10.5	8.5	9.5
#BDBDBD	11	9	1	-1	10.5	11.5	8.5	9.5
#BEBEBE	12	9	1	-1	11.5	12.5	8.5	9.5
#BEBEBE	13	9	1	-1	12.5	13.5	8.5	9.5
#BFBFBF	14	9	1	-1	13.5	14.5	8.5	9.5
#BEBEBE	15	9	1	-1	14.5	15.5	8.5	9.5
#BEBEBE	16	9	1	-1	15.5	16.5	8.5	9.5
#BEBEBE	17	9	1	-1	16.5	17.5	8.5	9.5
#BFBFBF	18	9	1	-1	17.5	18.5	8.5	9.5
#BFBFBF	19	9	1	-1	18.5	19.5	8.5	9.5
#BFBFBF	20	9	1	-1	19.5	20.5	8.5	9.5
#BFBFBF	21	9	1	-1	20.5	21.5	8.5	9.5
#BFBFBF	22	9	1	-1	21.5	22.5	8.5	9.5
#BFBFBF	23	9	1	-1	22.5	23.5	8.5	9.5
